epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,3866.5,0.20279,0.21869,0.10106,0.00387,0.02916,0.99433,0.97985,0.99373,0.9879,0.99504,0.98054,0.99139,0.97905,0.11011,0.20196,0.07318,0.00203,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3946.89,0.19855,0.21175,0.10383,0.00379,0.02929,0.98003,0.97424,0.9926,0.98666,0.98069,0.97493,0.99357,0.98114,0.10682,0.19488,0.09071,0.002,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4027.52,0.19746,0.21139,0.0973,0.00378,0.02947,0.99735,0.98394,0.99154,0.98747,0.99805,0.98463,0.99423,0.98155,0.11133,0.19844,0.0687,0.00219,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4108.1,0.19388,0.21314,0.09162,0.00364,0.02827,0.98993,0.98654,0.99423,0.98673,0.99062,0.98723,0.99407,0.98113,0.10223,0.20197,0.07025,0.00194,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4188.69,0.19446,0.2063,0.09559,0.00378,0.02819,0.99474,0.98569,0.99422,0.98806,0.99375,0.98873,0.99465,0.98042,0.10324,0.20229,0.06302,0.00197,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4268.99,0.1893,0.20183,0.09606,0.00364,0.02759,0.99259,0.98325,0.99347,0.98773,0.9933,0.98394,0.99462,0.98133,0.10198,0.20039,0.06869,0.00191,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4349.7,0.18341,0.20828,0.08805,0.00352,0.0277,0.98778,0.98709,0.99144,0.98714,0.98984,0.98902,0.99153,0.98056,0.10153,0.20055,0.06132,0.00194,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4430.57,0.1815,0.2025,0.08849,0.00342,0.02839,0.99585,0.98294,0.99379,0.98792,0.99656,0.98363,0.99432,0.98007,0.10241,0.19554,0.06647,0.00198,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4511.12,0.18097,0.19982,0.08594,0.00344,0.02771,0.99648,0.98566,0.99159,0.9886,0.99709,0.98664,0.99459,0.98143,0.09728,0.19967,0.05781,0.00186,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4591.77,0.17733,0.20218,0.09132,0.00336,0.02695,0.9955,0.98398,0.99157,0.98825,0.99512,0.98715,0.99465,0.98116,0.0925,0.19574,0.05839,0.00171,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4672.27,0.17521,0.19834,0.08338,0.00336,0.02625,0.99589,0.98723,0.99155,0.9878,0.99725,0.98581,0.99464,0.98157,0.09463,0.19455,0.05931,0.00175,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4752.95,0.17405,0.20313,0.08521,0.00328,0.02694,0.99562,0.98205,0.99147,0.98765,0.99632,0.98274,0.99468,0.98184,0.09273,0.18967,0.06154,0.00169,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4833.67,0.16702,0.19835,0.07983,0.00319,0.02607,0.9923,0.98619,0.99155,0.98781,0.9943,0.98541,0.99462,0.98301,0.09674,0.19148,0.06647,0.00183,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4914.43,0.16909,0.19407,0.07888,0.00322,0.02647,0.99488,0.98727,0.99155,0.98794,0.99558,0.98796,0.99482,0.98175,0.09652,0.19616,0.05889,0.0018,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4995.18,0.16328,0.19634,0.08039,0.00311,0.02607,0.99787,0.98929,0.99165,0.98769,0.99857,0.98998,0.99477,0.98295,0.0909,0.19335,0.05854,0.00166,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5075.88,0.15785,0.19457,0.07214,0.00303,0.02551,0.99763,0.98934,0.99441,0.98859,0.99833,0.98969,0.99466,0.98237,0.0914,0.19668,0.05139,0.00169,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5156.82,0.15829,0.19606,0.07406,0.00296,0.02731,0.99771,0.98967,0.99452,0.98864,0.99794,0.98925,0.99464,0.98245,0.08922,0.19479,0.05262,0.00163,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5237.75,0.15477,0.19174,0.07257,0.0029,0.0258,0.99699,0.98853,0.99457,0.98893,0.99819,0.98963,0.99485,0.98353,0.08681,0.18663,0.0545,0.00156,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5318.32,0.15098,0.19229,0.06702,0.00284,0.02481,0.99574,0.98367,0.9946,0.98871,0.99603,0.98363,0.99466,0.98277,0.08828,0.18929,0.06156,0.00157,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5398.86,0.15102,0.1889,0.06594,0.00287,0.02516,0.99579,0.98783,0.99458,0.98832,0.99652,0.98855,0.99475,0.98216,0.08538,0.19194,0.06016,0.00152,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
